First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Judy,Dibbert,AB184143C,2022 to 2023,749.04
Thurman,Schaefer,AB893617C,2022 to 2023,59.91
Wilburn,Reilly,AB146622C,2022 to 2023,699.91
Jeramy,Zulauf,AB807808C,2022 to 2023,838.78
Jermaine,Altenwerth,AB924120C,2022 to 2023,130.74
Henry,Gulgowski,AB666190C,2022 to 2023,356.63
Maximilian,Collins,AB276593C,2022 to 2023,985.86
Jesse,Bailey,AB666482C,2022 to 2023,748.19
Favian,Yundt,AB371247C,2022 to 2023,739.75
Efren,Schumm,AB912228C,2022 to 2023,214.16
Irving,Turner,AB241870C,2022 to 2023,837.09
Dustin,Ullrich,AB391143C,2022 to 2023,522.47
Garett,Block,AB255928C,2022 to 2023,596.92
General,Langosh,AB154453C,2022 to 2023,160.98
Nannie,Ortiz,AB982441C,2022 to 2023,751.97
Julia,Brekke,AB647371C,2022 to 2023,540.27
Shea,Lesch,AB380330C,2022 to 2023,707.64
Lucio,Hickle,AB676804C,2022 to 2023,374.33
Rasheed,Cummerata,AB199068C,2022 to 2023,965.54
Dalton,Torp,AB232875C,2022 to 2023,95.32
Amanda,Bahringer,AB867505C,2022 to 2023,440.55
Drew,Grant,AB429745C,2022 to 2023,284.28
Sabryna,Wolf,AB407558C,2022 to 2023,918.44
Wellington,Padberg,AB874853C,2022 to 2023,172.96
Abner,Gorczany,AB916418C,2022 to 2023,560.19
Troy,Fadel,AB355831C,2022 to 2023,875.70
Viva,Goldner,AB199904C,2022 to 2023,379.93
Marcel,Wisoky,AB873660C,2022 to 2023,36.22
Okey,Johns,AB672653C,2022 to 2023,759.28
Talon,Ledner,AB674551C,2022 to 2023,699.25
Lucas,Langosh,AB184990C,2022 to 2023,688.03
Trinity,Fadel,AB367106C,2022 to 2023,126.50
Lucinda,Schultz,AB814192C,2022 to 2023,123.00
Aiden,Thompson,AB897522C,2022 to 2023,41.24
Maybell,Dickens,AB876943C,2022 to 2023,372.97
Yolanda,Doyle,AB832689C,2022 to 2023,917.90
Benton,Spencer,AB222674C,2022 to 2023,937.41
Thurman,Luettgen,AB212899C,2022 to 2023,310.51
Elvie,Powlowski,AB911326C,2022 to 2023,999.30
Rogelio,Swift,AB148054C,2022 to 2023,394.76
Cindy,Champlin,AB930027C,2022 to 2023,197.07
Abagail,Hayes,AB700690C,2022 to 2023,100.37
Daija,Thompson,AB273242C,2022 to 2023,676.43
Reese,Gutkowski,AB342165C,2022 to 2023,147.00
Kristofer,Purdy,AB816872C,2022 to 2023,704.37
Anderson,Wintheiser,AB280328C,2022 to 2023,626.26
Mabel,Greenfelder,AB424293C,2022 to 2023,293.79
Kenneth,Jaskolski,AB425817C,2022 to 2023,274.30
Louisa,Wiza,AB194251C,2022 to 2023,551.04
Cheyenne,Shanahan,AB567712C,2022 to 2023,658.89
Ryann,Bartoletti,AB442811C,2022 to 2023,234.96
Humberto,Lemke,AB670142C,2022 to 2023,336.21
Heloise,Jenkins,AB609208C,2022 to 2023,177.14
Frankie,Moore,AB336218C,2022 to 2023,521.57
Myron,Miller,AB272633C,2022 to 2023,984.38
Madaline,Witting,AB160348C,2022 to 2023,278.77
Zella,Walker,AB106018C,2022 to 2023,511.00
Clare,Torp,AB754451C,2022 to 2023,36.73
Giles,Boyer,AB378672C,2022 to 2023,45.63
Destin,Buckridge,AB764890C,2022 to 2023,736.52
Emilia,Gutmann,AB516363C,2022 to 2023,648.92
Chaim,Smitham,AB804354C,2022 to 2023,983.64
Weston,Parisian,AB707638C,2022 to 2023,865.06
Carlos,Dickens,AB880807C,2022 to 2023,169.71
Aletha,Heller,AB446825C,2022 to 2023,514.99
Wade,Haag,AB552439C,2022 to 2023,604.78
Aubrey,Rogahn,AB521855C,2022 to 2023,982.53
Gayle,Ward,AB788967C,2022 to 2023,827.37
Clemmie,West,AB796820C,2022 to 2023,734.35
Elaina,Windler,AB775440C,2022 to 2023,197.14
Santiago,Gulgowski,AB888732C,2022 to 2023,495.37
Earlene,Hand,AB924598C,2022 to 2023,930.33
Mackenzie,Rempel,AB751753C,2022 to 2023,720.47
Micheal,Parker,AB231812C,2022 to 2023,69.19
Charles,Fay,AB152058C,2022 to 2023,905.22
Douglas,Johnson,AB163643C,2022 to 2023,555.50
Orie,Weimann,AB708520C,2022 to 2023,638.70
Wilburn,Roberts,AB603868C,2022 to 2023,394.52
Malvina,Kub,AB704082C,2022 to 2023,519.54
Darlene,Cartwright,AB196509C,2022 to 2023,178.19
Carole,Krajcik,AB418339C,2022 to 2023,387.07
Lorena,Anderson,AB699314C,2022 to 2023,793.18
Willie,Glover,AB318797C,2022 to 2023,354.94
Xavier,Hoeger,AB133018C,2022 to 2023,381.41
Antwon,Terry,AB197467C,2022 to 2023,948.16
Kattie,Hermann,AB205113C,2022 to 2023,261.72
Deshawn,Ryan,AB145994C,2022 to 2023,329.14
Alejandrin,Ryan,AB841897C,2022 to 2023,443.03
Julien,Funk,AB345970C,2022 to 2023,785.04
Diamond,Christiansen,AB542717C,2022 to 2023,506.69
Estefania,Franecki,AB365677C,2022 to 2023,353.04
Julia,Thiel,AB831657C,2022 to 2023,329.38
Guiseppe,Wunsch,AB465827C,2022 to 2023,112.35
Dorian,Kreiger,AB327841C,2022 to 2023,875.89
Joesph,Walsh,AB272818C,2022 to 2023,295.43
Arely,Kuvalis,AB116849C,2022 to 2023,899.28
Brando,Kiehn,AB608870C,2022 to 2023,869.67
Kristina,Wilderman,AB666752C,2022 to 2023,281.48
Meta,Prosacco,AB712265C,2022 to 2023,812.01
Christine,Lubowitz,AB667341C,2022 to 2023,981.85
Ernestina,Schoen,AB760512C,2022 to 2023,632.05
Lon,Fisher,AB513539C,2022 to 2023,66.27
Noel,Dach,AB812372C,2022 to 2023,493.01
Hyman,Jacobs,AB173236C,2022 to 2023,946.09
Donato,Wilderman,AB296751C,2022 to 2023,308.17
Gudrun,Christiansen,AB395353C,2022 to 2023,370.02
Raven,Will,AB950886C,2022 to 2023,204.28
Maryse,Simonis,AB691211C,2022 to 2023,872.28
Delilah,Cassin,AB808199C,2022 to 2023,696.32
Antonette,Kemmer,AB850260C,2022 to 2023,229.18
Wendy,Jacobi,AB787386C,2022 to 2023,939.25
Enrico,Dietrich,AB632390C,2022 to 2023,33.79
Gerson,Rohan,AB181140C,2022 to 2023,523.83
Hannah,Oberbrunner,AB554948C,2022 to 2023,441.28
Jarrell,Hane,AB308639C,2022 to 2023,808.29
Ardith,Altenwerth,AB658312C,2022 to 2023,290.54
Jaylan,Tremblay,AB600619C,2022 to 2023,224.47
Ernest,Koss,AB621557C,2022 to 2023,512.93
Shemar,Crist,AB428665C,2022 to 2023,326.33
Anya,Hansen,AB909674C,2022 to 2023,958.10
Edwardo,Veum,AB355065C,2022 to 2023,726.91
Meagan,Bruen,AB895788C,2022 to 2023,687.94
Dewayne,Wisoky,AB306692C,2022 to 2023,505.97
Audra,Hane,AB990125C,2022 to 2023,908.03
Chance,Hessel,AB192700C,2022 to 2023,318.94
Raymundo,Hessel,AB151318C,2022 to 2023,237.35
Vince,Wilkinson,AB858221C,2022 to 2023,682.30
Esta,Satterfield,AB729736C,2022 to 2023,694.28
Brandi,Dibbert,AB763906C,2022 to 2023,301.15
Virgie,Wyman,AB906702C,2022 to 2023,322.53
Janet,Donnelly,AB263738C,2022 to 2023,549.19
Lucio,Rosenbaum,AB309341C,2022 to 2023,771.97
Letha,Senger,AB195333C,2022 to 2023,783.37
Hope,Prosacco,AB678904C,2022 to 2023,633.18
Elton,Hilll,AB172214C,2022 to 2023,188.74
Jamar,McDermott,AB266964C,2022 to 2023,34.16
Garland,Kris,AB749735C,2022 to 2023,921.28
Mireille,Reynolds,AB704285C,2022 to 2023,881.04
Keanu,Turner,AB248186C,2022 to 2023,893.62
Taya,Kilback,AB561114C,2022 to 2023,849.47
Marlene,Toy,AB854321C,2022 to 2023,348.13
Isabell,Schoen,AB116443C,2022 to 2023,277.29
Joanne,Lueilwitz,AB833258C,2022 to 2023,169.91
Casey,Weissnat,AB922046C,2022 to 2023,577.55
Katelynn,Bins,AB650140C,2022 to 2023,304.12
Monique,Pfannerstill,AB434739C,2022 to 2023,910.40
Jarrett,O'Kon,AB608374C,2022 to 2023,348.39
Titus,Lynch,AB547843C,2022 to 2023,437.30
Lawson,Smith,AB147813C,2022 to 2023,202.78
Lucie,Schmeler,AB159527C,2022 to 2023,496.89
Oren,Wintheiser,AB512251C,2022 to 2023,223.95
Karley,Rice,AB820270C,2022 to 2023,623.49
Darwin,Gulgowski,AB395034C,2022 to 2023,807.18
Carmen,Kautzer,AB731801C,2022 to 2023,610.06
Norene,Huel,AB379164C,2022 to 2023,259.19
Retta,Bernhard,AB634397C,2022 to 2023,955.29
Juliet,Ritchie,AB469145C,2022 to 2023,170.67
Annabelle,Cormier,AB499410C,2022 to 2023,150.87
Elias,Little,AB682284C,2022 to 2023,124.89
Hans,Klocko,AB477552C,2022 to 2023,335.38
Alanna,Spencer,AB264757C,2022 to 2023,962.28
Declan,Jacobs,AB205249C,2022 to 2023,600.87
Kelsi,Gutmann,AB424427C,2022 to 2023,536.55
Alexandro,Ryan,AB566311C,2022 to 2023,267.03
Joel,Hettinger,AB471673C,2022 to 2023,531.69
Tevin,Baumbach,AB554547C,2022 to 2023,254.42
Chyna,Von,AB106063C,2022 to 2023,839.31
Diana,Stanton,AB780453C,2022 to 2023,534.33
Keyon,Kemmer,AB841389C,2022 to 2023,169.42
Jessie,Boehm,AB176375C,2022 to 2023,951.42
Lizzie,Gutmann,AB311029C,2022 to 2023,617.96
Modesta,Christiansen,AB383389C,2022 to 2023,188.53
Seth,Okuneva,AB786461C,2022 to 2023,912.65
Jessy,Moore,AB518101C,2022 to 2023,661.90
Pearl,Marquardt,AB226942C,2022 to 2023,990.45
Judah,Thompson,AB582142C,2022 to 2023,874.44
Braxton,Ernser,AB701406C,2022 to 2023,843.09
Elmira,Gislason,AB365612C,2022 to 2023,62.02
Reuben,Reilly,AB751226C,2022 to 2023,804.50
Kiley,Goodwin,AB914222C,2022 to 2023,536.64
Jody,Haag,AB734236C,2022 to 2023,459.18
Cassandra,Kuhn,AB709538C,2022 to 2023,899.58
Armando,Haley,AB374269C,2022 to 2023,337.32
Madelyn,Schowalter,AB937962C,2022 to 2023,721.71
Arturo,Hessel,AB626472C,2022 to 2023,517.79
Mustafa,Kuhic,AB845568C,2022 to 2023,502.59
Haskell,Boyer,AB199456C,2022 to 2023,228.92
Sierra,Herman,AB706340C,2022 to 2023,10.50
Elise,Ryan,AB884616C,2022 to 2023,477.65
Helen,Balistreri,AB467285C,2022 to 2023,234.62
William,Rohan,AB380346C,2022 to 2023,1.62
Kelley,Emmerich,AB348443C,2022 to 2023,7.78
Adolphus,Upton,AB186225C,2022 to 2023,964.76
Dana,Rice,AB831394C,2022 to 2023,245.13
Ella,Batz,AB447510C,2022 to 2023,699.25
Trudie,Considine,AB499807C,2022 to 2023,633.72
Shannon,Bode,AB507729C,2022 to 2023,509.78
Pablo,Hamill,AB110257C,2022 to 2023,294.66
Moshe,Bode,AB201837C,2022 to 2023,343.10
Beryl,D'Amore,AB450196C,2022 to 2023,223.57
Beaulah,Parker,AB506875C,2022 to 2023,718.01
Ashlynn,Lebsack,AB897480C,2022 to 2023,404.37
Gail,Rippin,AB231370C,2022 to 2023,116.59
Dolly,Hoppe,AB841493C,2022 to 2023,990.40
Reggie,Upton,AB280371C,2022 to 2023,850.42
Samantha,O'Keefe,AB134355C,2022 to 2023,282.13
Prudence,Volkman,AB630043C,2022 to 2023,335.19
Hugh,Jewess,AB816285C,2022 to 2023,79.39
Colleen,Terry,AB404609C,2022 to 2023,850.04
Simone,Bauch,AB985504C,2022 to 2023,532.95
Rylan,Parker,AB419358C,2022 to 2023,633.89
Alyson,Emmerich,AB739391C,2022 to 2023,803.24
Ahmad,Kirlin,AB237059C,2022 to 2023,757.68
Alena,Ruecker,AB192054C,2022 to 2023,501.22
Daron,Ferry,AB959046C,2022 to 2023,665.66
Lawrence,Huel,AB248133C,2022 to 2023,28.71
Kaycee,Dickinson,AB676710C,2022 to 2023,259.21
Ernesto,Smitham,AB242352C,2022 to 2023,585.64
Joaquin,Botsford,AB929671C,2022 to 2023,356.72
Bradley,Breitenberg,AB841842C,2022 to 2023,148.86
Orion,Rutherford,AB673122C,2022 to 2023,336.24
Reba,Dooley,AB540899C,2022 to 2023,375.84
Nat,Lockman,AB727453C,2022 to 2023,743.93
Kailyn,Cremin,AB711879C,2022 to 2023,111.83
Mireille,Keeling,AB567537C,2022 to 2023,428.65
Floyd,Hegmann,AB979039C,2022 to 2023,71.28
Reina,Doyle,AB612121C,2022 to 2023,866.98
Friedrich,Dibbert,AB212700C,2022 to 2023,382.03
Kianna,Kuhic,AB912199C,2022 to 2023,926.73
Raleigh,Dickinson,AB548080C,2022 to 2023,881.57
Lorna,Hirthe,AB263673C,2022 to 2023,72.30
Benton,Conn,AB526400C,2022 to 2023,21.61
Astrid,Bogan,AB892825C,2022 to 2023,63.27
Ariel,Heidenreich,AB430054C,2022 to 2023,773.79
Toni,Runte,AB976519C,2022 to 2023,835.89
Giovani,Stoltenberg,AB957014C,2022 to 2023,721.93
Cornelius,Lind,AB120139C,2022 to 2023,921.50
Miles,Collier,AB261150C,2022 to 2023,181.02
Anabelle,Wolff,AB267813C,2022 to 2023,479.94
Gust,Feeney,AB950654C,2022 to 2023,808.33
Lorenzo,Kutch,AB987687C,2022 to 2023,892.09
Napoleon,Gleichner,AB990009C,2022 to 2023,153.03
Julianne,Kuhn,AB764744C,2022 to 2023,546.57
Isabelle,Jast,AB171123C,2022 to 2023,494.14
Arno,Shields,AB671489C,2022 to 2023,904.25
Orlando,Nikolaus,AB223166C,2022 to 2023,9.34
Kennedy,Hansen,AB906711C,2022 to 2023,40.64
Jayme,Leannon,AB939427C,2022 to 2023,885.29
Ansel,Kuphal,AB574566C,2022 to 2023,158.59
Davon,Harvey,AB301777C,2022 to 2023,390.20
Bryana,Monahan,AB373905C,2022 to 2023,229.02
Emerald,Weber,AB987138C,2022 to 2023,313.59
Lila,Ullrich,AB555301C,2022 to 2023,484.45
Zack,Witting,AB166123C,2022 to 2023,806.69
Maeve,Daniel,AB157459C,2022 to 2023,69.24
Natalie,Bayer,AB498726C,2022 to 2023,762.60
Silas,Skiles,AB698926C,2022 to 2023,222.04
Bryana,Medhurst,AB261601C,2022 to 2023,218.39
Brody,Raynor,AB648557C,2022 to 2023,755.59
Daniela,O'Hara,AB990605C,2022 to 2023,243.84
Dayton,Mueller,AB359156C,2022 to 2023,105.43
Roel,Feil,AB283929C,2022 to 2023,103.94
Jaqueline,Labadie,AB469098C,2022 to 2023,733.57
Katelyn,DuBuque,AB426119C,2022 to 2023,118.07
Mable,Conn,AB671953C,2022 to 2023,122.51
Gavin,Goodwin,AB525853C,2022 to 2023,11.53
Odie,Conroy,AB827001C,2022 to 2023,919.50
Floy,Larson,AB151012C,2022 to 2023,226.75
Dayana,Wuckert,AB828818C,2022 to 2023,174.61
Abigayle,Skiles,AB862903C,2022 to 2023,295.58
Magdalen,Hermiston,AB149844C,2022 to 2023,776.43
Winifred,Jones,AB236263C,2022 to 2023,943.56
Carlotta,Osinski,AB512950C,2022 to 2023,989.16
Stefanie,Kling,AB713831C,2022 to 2023,255.41
Greyson,Kunde,AB530120C,2022 to 2023,137.29
Rodger,Hackett,AB353849C,2022 to 2023,595.86
Brianne,Medhurst,AB433159C,2022 to 2023,678.41
Glen,Schoen,AB995658C,2022 to 2023,207.70
Pasquale,Olson,AB357127C,2022 to 2023,990.03
Laron,Bosco,AB474896C,2022 to 2023,951.56
Ella,Boehm,AB110907C,2022 to 2023,602.01
Daphnee,Fisher,AB266760C,2022 to 2023,204.41
Delfina,Swift,AB103092C,2022 to 2023,346.98
Sadye,Bayer,AB861400C,2022 to 2023,981.06
Brycen,Kovacek,AB501021C,2022 to 2023,177.74
Berniece,Turcotte,AB692185C,2022 to 2023,765.14
Augustine,Tremblay,AB447646C,2022 to 2023,452.18
Danyka,Schaden,AB241116C,2022 to 2023,994.77
Geo,Breitenberg,AB320054C,2022 to 2023,468.32
Fleta,Bahringer,AB995153C,2022 to 2023,312.02
Lindsey,Gottlieb,AB338489C,2022 to 2023,594.19
Maud,Ledner,AB173144C,2022 to 2023,143.81
Brock,Roberts,AB991199C,2022 to 2023,394.53
Bridget,Douglas,AB967875C,2022 to 2023,382.18
Clark,D'Amore,AB604467C,2022 to 2023,353.33
Lourdes,Braun,AB498534C,2022 to 2023,127.26
Garrison,Kirlin,AB757870C,2022 to 2023,384.47
Matilda,Grant,AB907988C,2022 to 2023,99.14
Antonia,Rowe,AB883081C,2022 to 2023,657.91
Una,Johnston,AB617463C,2022 to 2023,584.61
Shemar,Gleason,AB152183C,2022 to 2023,597.07
Adrianna,Schimmel,AB605956C,2022 to 2023,658.79
Dakota,Stehr,AB877538C,2022 to 2023,73.99
Claudine,Lubowitz,AB520286C,2022 to 2023,157.29
Royce,Howe,AB569022C,2022 to 2023,276.66
Harry,Hansen,AB391897C,2022 to 2023,127.24
Austen,Boyer,AB216776C,2022 to 2023,809.27
Kevin,Simonis,AB223657C,2022 to 2023,246.86
Norene,Larkin,AB834425C,2022 to 2023,999.52
Zora,Howe,AB336796C,2022 to 2023,542.65
Seamus,Hartmann,AB228831C,2022 to 2023,239.87
Kip,Cartwright,AB507033C,2022 to 2023,286.59
Bernhard,Jacobson,AB177406C,2022 to 2023,736.27
Theodora,Beahan,AB266213C,2022 to 2023,234.94
Shane,Lemke,AB641759C,2022 to 2023,587.80
Dixie,Herman,AB264664C,2022 to 2023,604.39
Jaylen,Ferry,AB314456C,2022 to 2023,798.02
Quinton,Considine,AB354870C,2022 to 2023,838.92
Araceli,Keeling,AB321283C,2022 to 2023,300.34
Antonetta,Dietrich,AB922784C,2022 to 2023,982.72
Amiya,Thompson,AB489443C,2022 to 2023,625.11
Marisol,Beier,AB705834C,2022 to 2023,495.49
Edwin,Lind,AB141306C,2022 to 2023,514.27
Walton,Olson,AB317066C,2022 to 2023,820.07
Maynard,Dickinson,AB380067C,2022 to 2023,941.02
Brenden,Renner,AB281687C,2022 to 2023,912.00
Rylee,Douglas,AB487415C,2022 to 2023,834.57
Avis,Botsford,AB192705C,2022 to 2023,538.04
Mckayla,Kunze,AB891352C,2022 to 2023,205.25
Shannon,Breitenberg,AB636252C,2022 to 2023,843.33
Audra,Dickinson,AB572983C,2022 to 2023,85.05
Giovanni,Senger,AB397936C,2022 to 2023,951.02
Ian,Daniel,AB694061C,2022 to 2023,178.34
Randi,Ratke,AB907946C,2022 to 2023,428.24
Laurel,Goodwin,AB295869C,2022 to 2023,945.94
Sabrina,Zulauf,AB365750C,2022 to 2023,351.92
Vanessa,Green,AB732851C,2022 to 2023,727.61
