First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Marlon,Brakus,AB731973C,Enhanced protection,19034742,965.80,2022-11-08
Werner,Ortiz,AB702826C,Fixed protection 2016,71144883,814.05,2022-11-04
Keegan,Weber,AB557907C,Fixed protection 2014,23601903,715.71,2022-11-04
Reva,Raynor,AB936436C,Enhanced protection,10216556,567.15,2022-11-07
Constance,Schinner,AB389948C,Fixed protection,36912928,746.71,2022-11-02
Emilia,Hirthe,AB355291C,Fixed protection 2014,81771833,377.43,2022-11-02
Jesse,Runolfsson,AB820661C,Fixed protection 2014,75361669,935.15,2022-11-04
Layla,Lang,AB738452C,Enhanced lifetime allowance,68081003,730.35,2022-11-04
Micheal,Abbott,AB763161C,Enhanced protection,50014552,153.97,2022-11-02
Lurline,Haag,AB653806C,Individual protection 2014,91157561,116.62,2022-11-04
Darrin,Schowalter,AB617800C,Individual protection 2016,37781733,569.71,2022-11-08
Laverne,Schamberger,AB519104C,Fixed protection 2016,77123371,497.32,2022-11-05
Wyatt,Torphy,AB566668C,Fixed protection,54248318,24.70,2022-11-07
Barney,Metz,AB313187C,Individual protection 2016,27215118,128.81,2022-11-07
Isidro,Bailey,AB720484C,Individual protection 2014,75148356,235.53,2022-11-07
Mozelle,Farrell,AB808798C,Fixed protection 2014,86863812,546.06,2022-11-05
Cornell,Bashirian,AB402970C,Individual protection 2016,89827403,399.77,2022-11-04
Danyka,Bartell,AB471522C,Fixed protection,18594060,471.67,2022-11-06
Janie,Balistreri,AB146071C,Individual protection 2016,83705121,713.58,2022-11-04
Abdullah,Lueilwitz,AB381747C,Fixed protection 2016,66056423,11.06,2022-11-01
Myriam,Quigley,AB333483C,Fixed protection 2016,14713822,305.95,2022-11-06
Henry,Pfeffer,AB406333C,Fixed protection 2014,36276006,915.98,2022-11-03
Antonetta,Gleichner,AB746168C,Enhanced lifetime allowance,19017469,416.03,2022-11-07
Grady,Lynch,AB414453C,Fixed protection 2014,72382278,907.12,2022-11-08
Cristopher,Rohan,AB115755C,Fixed protection,57636767,456.41,2022-11-01
Felipe,Heidenreich,AB774043C,Fixed protection 2016,95477349,179.12,2022-11-01
Oceane,Deckow,AB503469C,Fixed protection,66149623,301.11,2022-11-08
Lessie,Kris,AB205168C,Enhanced lifetime allowance,74885554,723.41,2022-11-03
Ethelyn,Turner,AB983421C,Individual protection 2014,63799156,100.50,2022-11-03
Ramon,Brakus,AB812149C,Enhanced protection,83846668,989.34,2022-11-04
Zachary,Schneider,AB389308C,Fixed protection 2014,24477291,300.73,2022-11-01
Ansel,Goodwin,AB350506C,Fixed protection 2014,77970709,422.50,2022-11-05
Tevin,Gottlieb,AB634854C,Fixed protection 2016,87908468,251.13,2022-11-05
Ettie,Spencer,AB703488C,Individual protection 2014,18934619,175.28,2022-11-01
Trevor,Gleichner,AB239843C,Individual protection 2014,15254209,247.13,2022-11-06
Peggie,Wunsch,AB259620C,Individual protection 2016,84607643,342.07,2022-11-03
Lauretta,Hamill,AB815287C,Enhanced protection,19185865,258.76,2022-11-03
Arianna,Conn,AB491428C,Fixed protection,41774424,106.07,2022-11-07
Abdiel,Ledner,AB286948C,Individual protection 2016,40204771,712.46,2022-11-06
Royce,Swift,AB318717C,Enhanced lifetime allowance,88826601,523.03,2022-11-02
Elnora,Swaniawski,AB863904C,Individual protection 2014,19685648,407.55,2022-11-05
Timmy,Jacobi,AB266731C,Individual protection 2016,66317504,816.09,2022-11-02
Howell,Emard,AB840480C,Fixed protection 2014,38893987,38.11,2022-11-08
Alessandra,Wintheiser,AB521683C,Enhanced lifetime allowance,94103097,991.21,2022-11-02
Lenny,Weissnat,AB471935C,Individual protection 2016,80854011,920.81,2022-11-05
Palma,McClure,AB684536C,Fixed protection 2014,18291636,11.97,2022-11-04
Izaiah,Corwin,AB225636C,Fixed protection 2016,34540123,126.69,2022-11-02
Saul,Block,AB844388C,Fixed protection,97492108,402.52,2022-11-05
Buddy,Botsford,AB417809C,Fixed protection 2014,65822309,695.92,2022-11-01
Marlon,Bogan,AB284357C,Individual protection 2014,87135061,286.83,2022-11-03
Nathan,Simonis,AB318228C,Enhanced protection,90826475,874.02,2022-11-08
Kieran,Mayer,AB505745C,Enhanced protection,75360231,506.46,2022-11-02
Cleta,Johns,AB268350C,Fixed protection 2014,85309642,850.38,2022-11-07
Cristal,Mayer,AB259568C,Fixed protection 2014,74924755,13.11,2022-11-08
Oran,Fay,AB222984C,Enhanced protection,55809663,871.58,2022-11-03
Isadore,Christiansen,AB462559C,Fixed protection 2014,98492695,8.96,2022-11-05
Bettye,Schmitt,AB930226C,Fixed protection,54234406,209.76,2022-11-03
Sandy,Moen,AB648252C,Fixed protection 2016,70007400,656.91,2022-11-01
Pink,D'Amore,AB117459C,Individual protection 2016,90469019,194.33,2022-11-08
Hugh,King,AB650908C,Fixed protection 2014,68860479,428.33,2022-11-07
Ursula,Streich,AB231415C,Fixed protection 2016,17530257,437.89,2022-11-05
Christa,Parisian,AB963005C,Fixed protection 2016,99682430,908.29,2022-11-06
Deangelo,Lynch,AB707563C,Enhanced protection,63288788,560.52,2022-11-04
Mikel,Moore,AB390504C,Fixed protection 2016,62768732,136.94,2022-11-05
Eula,Bruen,AB253044C,Fixed protection 2016,83099534,335.50,2022-11-02
Chelsey,Abernathy,AB948865C,Enhanced protection,72479886,2.52,2022-11-08
Chesley,Ziemann,AB582849C,Enhanced protection,14524120,172.85,2022-11-07
Jovany,Schmeler,AB654958C,Enhanced protection,51799450,360.11,2022-11-01
Lowell,Blick,AB575241C,Enhanced protection,57858824,229.07,2022-11-08
Karl,Weimann,AB600331C,Enhanced protection,50609074,771.64,2022-11-04
Gardner,Steuber,AB763120C,Fixed protection,33138972,7.61,2022-11-03
Neha,Heathcote,AB654336C,Individual protection 2016,85568558,623.94,2022-11-08
Carlee,Torphy,AB559877C,Fixed protection 2014,27451763,552.33,2022-11-01
Suzanne,Stracke,AB178425C,Individual protection 2014,44038042,910.30,2022-11-08
Charlie,Reichel,AB299923C,Enhanced protection,13392726,682.14,2022-11-05
Deborah,Mann,AB855254C,Individual protection 2016,42241367,773.03,2022-11-02
Rhea,Watsica,AB807975C,Fixed protection 2016,59244876,191.86,2022-11-04
Curtis,Kuhlman,AB374270C,Individual protection 2014,18053031,249.88,2022-11-05
Pete,McClure,AB562744C,Fixed protection 2016,76760781,237.09,2022-11-01
Lisa,Hirthe,AB682666C,Individual protection 2014,14831814,981.20,2022-11-05
Edison,Koss,AB214875C,Fixed protection,32593792,39.00,2022-11-02
Baby,O'Connell,AB471987C,Enhanced protection,62546587,241.31,2022-11-07
Ellsworth,Wilkinson,AB604992C,Fixed protection 2014,83267857,716.03,2022-11-08
Kristin,Rohan,AB891965C,Fixed protection 2014,67187435,552.31,2022-11-01
Clarissa,Spencer,AB441324C,Enhanced lifetime allowance,14412886,847.25,2022-11-07
Jamey,Kuvalis,AB358164C,Fixed protection 2014,64925278,988.55,2022-11-03
Erling,Brakus,AB115393C,Individual protection 2014,88952824,421.29,2022-11-08
D'angelo,Champlin,AB728047C,Enhanced protection,75512326,355.36,2022-11-02
Jaden,Reichert,AB734038C,Individual protection 2016,17537106,933.57,2022-11-07
Alycia,Marquardt,AB369128C,Enhanced lifetime allowance,48978568,694.85,2022-11-08
Alexys,Streich,AB123623C,Fixed protection,62017439,812.37,2022-11-08
Rahul,Sanford,AB126219C,Individual protection 2014,39503538,779.51,2022-11-08
Amber,Braun,AB122035C,Fixed protection 2014,30624695,992.18,2022-11-03
Karli,Jewess,AB119741C,Fixed protection 2014,79714184,392.85,2022-11-02
Obie,Von,AB587571C,Individual protection 2014,37397834,801.92,2022-11-04
Trystan,Torphy,AB855219C,Fixed protection,25113692,798.34,2022-11-08
Reba,Feil,AB106219C,Fixed protection 2016,20584404,402.49,2022-11-08
Ward,Crooks,AB341024C,Individual protection 2016,83032058,794.65,2022-11-04
Bo,Brakus,AB843499C,Fixed protection 2014,78758028,921.90,2022-11-01
Vernie,Konopelski,AB755482C,Enhanced lifetime allowance,65381011,444.17,2022-11-06
Aglae,Pfeffer,AB391032C,Individual protection 2014,51619433,965.20,2022-11-05
Ariane,Tillman,AB468412C,Fixed protection 2016,16341402,499.86,2022-11-07
Rita,Langworth,AB256120C,Enhanced protection,38254652,479.38,2022-11-04
Royal,Rau,AB718532C,Fixed protection 2016,92726288,212.94,2022-11-03
Kelsi,Collins,AB407650C,Fixed protection 2014,20389513,325.06,2022-11-02
Isadore,Crist,AB366153C,Fixed protection 2016,56807877,894.80,2022-11-06
Anabel,Balistreri,AB571771C,Enhanced lifetime allowance,72248449,741.51,2022-11-03
Kane,Mosciski,AB285183C,Fixed protection 2014,98434927,314.03,2022-11-03
Eusebio,Reilly,AB627933C,Fixed protection 2016,33667269,564.36,2022-11-04
Bulah,Davis,AB108028C,Fixed protection,25870448,621.18,2022-11-01
Marion,Kunze,AB437430C,Individual protection 2014,65829967,606.76,2022-11-02
Ralph,Abshire,AB528554C,Individual protection 2014,13505295,684.42,2022-11-02
Noemi,Rau,AB469973C,Fixed protection 2014,32329022,859.98,2022-11-06
Mallie,Conn,AB911014C,Fixed protection 2014,10698527,614.18,2022-11-02
Neal,Hoeger,AB377102C,Individual protection 2014,71224354,222.21,2022-11-03
Vicenta,Purdy,AB681604C,Fixed protection 2016,92434044,596.76,2022-11-07
Orville,Douglas,AB945272C,Enhanced lifetime allowance,20079310,735.60,2022-11-03
Lexi,Rau,AB388638C,Individual protection 2014,47786956,199.39,2022-11-08
Amina,Hermiston,AB629406C,Individual protection 2014,29716180,494.54,2022-11-06
Maximillian,Schneider,AB775803C,Fixed protection 2014,20911373,149.20,2022-11-03
Benjamin,Baumbach,AB669550C,Fixed protection 2014,79068478,870.68,2022-11-04
Giovanny,Reichert,AB986759C,Enhanced lifetime allowance,80000302,990.14,2022-11-04
Clement,Jaskolski,AB964112C,Fixed protection 2014,99954730,796.70,2022-11-03
Marcus,Eichmann,AB691733C,Fixed protection 2014,51247294,203.03,2022-11-06
Marquise,Mitchell,AB301115C,Enhanced protection,21838175,447.94,2022-11-08
Joel,Ondricka,AB564309C,Individual protection 2016,33248907,425.17,2022-11-01
Cortney,Veum,AB120519C,Individual protection 2016,31580663,191.76,2022-11-05
Kyleigh,Reichel,AB827319C,Fixed protection 2014,49621416,967.52,2022-11-07
Rosetta,Sauer,AB954124C,Enhanced protection,87633961,977.16,2022-11-07
Toney,Kuhn,AB163808C,Fixed protection 2014,63497587,102.14,2022-11-03
Adaline,Metz,AB706581C,Enhanced protection,73754728,780.23,2022-11-03
Horacio,Steuber,AB332722C,Fixed protection,13191799,356.28,2022-11-05
Jaclyn,Effertz,AB991819C,Fixed protection 2016,53493140,200.24,2022-11-01
Asia,Gottlieb,AB994759C,Enhanced protection,53137963,396.40,2022-11-07
Kaya,Reichert,AB961870C,Enhanced lifetime allowance,84061290,426.65,2022-11-02
Effie,Lowe,AB260295C,Enhanced protection,46149703,753.44,2022-11-01
Pamela,Pacocha,AB426783C,Enhanced protection,22403731,420.78,2022-11-06
Lucienne,Greenfelder,AB993361C,Individual protection 2014,52438507,116.08,2022-11-03
Stephen,Lynch,AB150130C,Enhanced protection,68769952,124.66,2022-11-02
Vilma,Moen,AB402294C,Individual protection 2014,54184014,902.38,2022-11-06
Eden,Becker,AB476332C,Fixed protection 2014,58564995,451.04,2022-11-05
Flavio,Aufderhar,AB526890C,Fixed protection 2014,25368133,975.47,2022-11-02
Raquel,Jerde,AB757441C,Enhanced lifetime allowance,82731255,518.58,2022-11-08
Raphaelle,Romaguera,AB175947C,Fixed protection 2016,22625762,48.63,2022-11-03
Hollis,Schowalter,AB452353C,Fixed protection,47934180,335.23,2022-11-07
Meagan,Jerde,AB306261C,Fixed protection 2016,86559136,250.04,2022-11-04
Kavon,Armstrong,AB570648C,Individual protection 2016,92891389,239.94,2022-11-03
Valerie,Wunsch,AB440760C,Enhanced lifetime allowance,62153494,761.85,2022-11-01
Anibal,Metz,AB592124C,Fixed protection 2014,18321614,601.35,2022-11-02
Dolores,Jacobs,AB342952C,Enhanced lifetime allowance,21854785,331.13,2022-11-04
Gwen,Schuster,AB684281C,Fixed protection 2014,31642297,341.73,2022-11-06
Isabel,Mayer,AB365928C,Enhanced lifetime allowance,74863296,732.42,2022-11-06
Irving,Kub,AB704232C,Fixed protection 2016,72170762,910.38,2022-11-07
Reuben,Hoeger,AB451834C,Fixed protection,81888986,254.49,2022-11-03
Seth,Terry,AB465806C,Enhanced protection,42899259,957.74,2022-11-04
Brock,Kautzer,AB512138C,Individual protection 2014,28486796,758.29,2022-11-04
Dell,Shanahan,AB379107C,Enhanced protection,38841794,780.57,2022-11-02
Caleigh,Ratke,AB581000C,Fixed protection 2014,30091284,312.11,2022-11-01
Audie,Rutherford,AB709988C,Fixed protection 2014,45207803,635.54,2022-11-08
Magdalen,Stanton,AB661794C,Fixed protection 2014,50597025,489.16,2022-11-08
Lottie,Gislason,AB384055C,Individual protection 2014,27801768,256.18,2022-11-05
Rosalinda,Gleichner,AB636253C,Individual protection 2014,48077769,794.94,2022-11-04
Ricardo,Koepp,AB436880C,Fixed protection,17520800,732.37,2022-11-04
Lindsay,Kassulke,AB453363C,Individual protection 2014,48867176,771.81,2022-11-01
Khalil,Kshlerin,AB991902C,Individual protection 2014,63157668,671.74,2022-11-08
Sonia,Krajcik,AB564858C,Enhanced protection,57449743,748.20,2022-11-06
George,Gutmann,AB221544C,Fixed protection 2016,64933879,220.52,2022-11-01
Hipolito,Funk,AB467835C,Enhanced lifetime allowance,11443125,871.95,2022-11-06
Adolphus,Parker,AB922687C,Fixed protection 2016,57182069,373.90,2022-11-07
Nadia,Koss,AB237213C,Enhanced lifetime allowance,50423576,284.42,2022-11-03
Tyra,Beatty,AB311493C,Fixed protection 2014,97772884,878.01,2022-11-02
Natalia,Fadel,AB146145C,Individual protection 2014,68287268,924.59,2022-11-05
Sonia,Kovacek,AB281749C,Individual protection 2014,19303250,952.04,2022-11-05
Lolita,McGlynn,AB397329C,Enhanced lifetime allowance,13808915,381.17,2022-11-02
Jairo,Quigley,AB649555C,Individual protection 2014,77149410,938.47,2022-11-05
Giuseppe,Lubowitz,AB142553C,Enhanced protection,74621830,859.98,2022-11-05
Dion,Bailey,AB529050C,Individual protection 2014,82175068,314.67,2022-11-02
Bulah,Herman,AB575763C,Fixed protection 2016,76215641,320.53,2022-11-03
Letha,Stanton,AB698560C,Individual protection 2014,20157759,577.37,2022-11-03
Matilda,Reichert,AB565075C,Individual protection 2016,70590831,231.67,2022-11-04
Crystel,Cruickshank,AB870576C,Enhanced protection,28177552,868.23,2022-11-04
Delphine,Purdy,AB966124C,Enhanced lifetime allowance,40251818,668.73,2022-11-07
Gerard,Purdy,AB154504C,Individual protection 2016,10200361,924.09,2022-11-05
Karianne,Kemmer,AB409452C,Fixed protection 2016,10014410,379.29,2022-11-05
Angelina,Ferry,AB125175C,Fixed protection,29132603,521.29,2022-11-03
Dante,Boyle,AB852131C,Enhanced lifetime allowance,96678231,700.52,2022-11-07
Imani,Kuhn,AB601505C,Enhanced lifetime allowance,32265363,135.13,2022-11-07
Marlee,Hartmann,AB570786C,Individual protection 2016,92775518,603.96,2022-11-04
Ernie,Wilderman,AB342596C,Enhanced protection,36705305,776.35,2022-11-01
Lyla,Torphy,AB717822C,Individual protection 2016,46947279,925.77,2022-11-02
Alphonso,Kerluke,AB729966C,Fixed protection 2016,33368431,647.57,2022-11-06
Erica,Schaden,AB519980C,Individual protection 2014,39713394,58.08,2022-11-05
Maud,Kling,AB983553C,Fixed protection 2014,48358370,490.91,2022-11-07
Noemy,Beier,AB614231C,Fixed protection 2014,16583539,938.14,2022-11-04
Issac,Crist,AB344461C,Individual protection 2014,45156860,794.17,2022-11-04
Naomie,Witting,AB896883C,Enhanced protection,19511175,786.38,2022-11-01
Kasey,Kris,AB416511C,Fixed protection,93068394,124.69,2022-11-01
Toney,Larson,AB424634C,Fixed protection 2014,20538778,459.38,2022-11-04
Heidi,D'Amore,AB519362C,Individual protection 2014,79682782,901.11,2022-11-08
Jerry,Feest,AB656715C,Fixed protection 2014,66515499,554.52,2022-11-06
Muriel,Monahan,AB876672C,Fixed protection 2016,75242707,81.49,2022-11-04
Gregory,Zemlak,AB351934C,Fixed protection 2014,19761191,236.42,2022-11-04
Emmett,Funk,AB495882C,Enhanced lifetime allowance,87064896,473.63,2022-11-01
Curt,King,AB388871C,Fixed protection 2016,16801042,26.25,2022-11-02
Kody,Romaguera,AB126023C,Fixed protection 2014,50842878,410.87,2022-11-01
Katlynn,Zulauf,AB670744C,Individual protection 2014,93515138,199.59,2022-11-04
Summer,Abbott,AB238109C,Fixed protection,95063153,874.18,2022-11-07
Reilly,Paucek,AB877195C,Fixed protection,72270465,350.24,2022-11-02
Josue,Fadel,AB749742C,Fixed protection,91784809,993.87,2022-11-02
Tatum,Carroll,AB165631C,Fixed protection 2016,93961725,533.16,2022-11-06
Anthony,Dietrich,AB376114C,Individual protection 2016,30763409,202.28,2022-11-02
Casimir,Sanford,AB482976C,Fixed protection,82506103,166.00,2022-11-04
Eudora,Tillman,AB560320C,Enhanced protection,17288846,585.69,2022-11-07
Afton,Krajcik,AB635364C,Individual protection 2016,70613071,757.78,2022-11-02
Ethel,Harvey,AB398025C,Enhanced protection,45720143,53.73,2022-11-08
Ramona,White,AB354497C,Fixed protection 2014,51743992,545.75,2022-11-03
Elisha,Mayert,AB389799C,Fixed protection 2016,20760127,516.83,2022-11-08
Jalyn,O'Kon,AB483823C,Enhanced lifetime allowance,65987073,282.26,2022-11-01
Cassidy,Macejkovic,AB616860C,Fixed protection 2014,29205772,782.32,2022-11-08
Madeline,Dickinson,AB540218C,Individual protection 2016,51068200,614.39,2022-11-05
Abbey,Moen,AB721742C,Enhanced protection,82256180,89.44,2022-11-08
Raleigh,Strosin,AB992342C,Enhanced protection,69194158,715.41,2022-11-07
Ivah,Thiel,AB975785C,Fixed protection,69493204,950.75,2022-11-04
Darrick,Rutherford,AB587503C,Fixed protection 2014,43407608,504.22,2022-11-04
Maximillian,Larson,AB705471C,Fixed protection,22831018,744.59,2022-11-08
Aliyah,Runolfsson,AB628031C,Individual protection 2014,96087537,653.02,2022-11-01
Dan,Eichmann,AB969362C,Individual protection 2014,14835575,809.89,2022-11-06
Demetrius,Haag,AB117161C,Individual protection 2014,58358308,56.22,2022-11-03
Myles,Swift,AB331858C,Fixed protection 2016,24716215,258.66,2022-11-07
Sheridan,Hane,AB101010C,Enhanced protection,73538876,976.22,2022-11-08
Kathryn,Trantow,AB448837C,Enhanced protection,12516603,142.41,2022-11-08
Vance,O'Kon,AB672647C,Enhanced protection,83322542,885.79,2022-11-04
Kacie,Hansen,AB747689C,Fixed protection 2016,19562653,323.00,2022-11-06
George,Boyle,AB572354C,Enhanced lifetime allowance,54863653,212.03,2022-11-01
Jayden,Terry,AB899540C,Individual protection 2014,66099112,266.32,2022-11-06
Joanny,Lind,AB272503C,Enhanced protection,12443855,298.02,2022-11-05
Rene,Schulist,AB171000C,Fixed protection 2016,63972436,403.12,2022-11-02
Morgan,Mills,AB921338C,Enhanced lifetime allowance,96383327,603.61,2022-11-06
Nina,Bartoletti,AB301214C,Individual protection 2014,42682053,934.57,2022-11-07
Tyshawn,Hartmann,AB706067C,Fixed protection 2016,74011791,126.69,2022-11-01
Shaun,Cronin,AB356529C,Individual protection 2016,10335364,851.41,2022-11-07
Cassie,Wiegand,AB647385C,Fixed protection,36830866,500.74,2022-11-04
Kelsi,Steuber,AB174037C,Enhanced lifetime allowance,47230670,208.42,2022-11-08
Amie,Streich,AB424271C,Enhanced protection,81442925,421.08,2022-11-07
Ocie,Boehm,AB316101C,Individual protection 2016,82134648,181.38,2022-11-08
Webster,Boehm,AB159412C,Individual protection 2016,61152716,624.08,2022-11-07
Bernhard,Wiza,AB871305C,Individual protection 2014,46946725,998.72,2022-11-01
Jacinto,Brekke,AB513846C,Enhanced lifetime allowance,75536445,187.44,2022-11-08
Davon,Friesen,AB316213C,Enhanced protection,14197613,790.79,2022-11-07
Manuel,Zboncak,AB501120C,Fixed protection 2014,99976533,438.14,2022-11-07
Fredy,Kling,AB611935C,Enhanced protection,81113094,611.69,2022-11-05
Deven,Stanton,AB300888C,Fixed protection,89795220,375.97,2022-11-06
Shanelle,Wilkinson,AB802802C,Enhanced lifetime allowance,72143345,268.75,2022-11-01
Hellen,Olson,AB317049C,Fixed protection 2016,18041941,16.66,2022-11-06
Virginia,Ritchie,AB629381C,Enhanced protection,19117612,945.75,2022-11-05
Dorothea,Lehner,AB777283C,Fixed protection,78972715,975.82,2022-11-03
Ralph,Bernier,AB821412C,Fixed protection,57970024,841.64,2022-11-07
Edison,Beahan,AB628318C,Fixed protection 2016,39296969,986.83,2022-11-05
Furman,Toy,AB491948C,Fixed protection 2016,52894694,199.24,2022-11-07
Fabian,Swift,AB447925C,Individual protection 2016,57081254,271.75,2022-11-08
Leonard,Goldner,AB209166C,Individual protection 2014,72047977,499.04,2022-11-03
Cassidy,Satterfield,AB962596C,Fixed protection 2016,18036160,331.24,2022-11-07
Monserrate,Quigley,AB188050C,Individual protection 2014,18056581,374.73,2022-11-03
Rowan,McKenzie,AB728321C,Enhanced protection,25771842,458.27,2022-11-04
Madison,Schultz,AB301892C,Individual protection 2014,80875030,736.46,2022-11-03
Jose,Sanford,AB698327C,Fixed protection 2016,43013712,343.62,2022-11-06
Jared,Romaguera,AB483582C,Fixed protection 2016,37072016,853.85,2022-11-01
Clarissa,Roob,AB808559C,Enhanced protection,69272531,218.93,2022-11-08
Zoe,Sawayn,AB499898C,Fixed protection 2016,14458355,753.29,2022-11-03
Everett,Botsford,AB960443C,Individual protection 2014,38915956,30.59,2022-11-06
Chadrick,McCullough,AB664236C,Enhanced protection,44945561,851.78,2022-11-08
Kenny,Kreiger,AB250877C,Fixed protection 2016,81837077,312.20,2022-11-06
Glennie,Lindgren,AB657168C,Individual protection 2014,58841949,568.05,2022-11-03
Helene,Treutel,AB507299C,Individual protection 2014,99948962,24.29,2022-11-06
Frederik,Heaney,AB278499C,Fixed protection 2016,95793193,534.75,2022-11-06
Tanya,Emmerich,AB183169C,Individual protection 2014,41903651,440.00,2022-11-03
Maxine,Hessel,AB626606C,Enhanced protection,59019342,839.53,2022-11-06
Lily,Batz,AB811220C,Individual protection 2016,68948053,494.16,2022-11-02
Belle,Breitenberg,AB462649C,Fixed protection,73701909,318.50,2022-11-02
Kathryne,Abbott,AB542046C,Fixed protection 2014,52343748,322.48,2022-11-07
Isabell,Adams,AB137712C,Individual protection 2016,88643027,872.90,2022-11-01
Zetta,Dicki,AB413637C,Fixed protection 2014,34970194,373.03,2022-11-03
Ferne,Hauck,AB668418C,Individual protection 2014,69946385,845.43,2022-11-07
Eloisa,Stark,AB997472C,Enhanced protection,22107054,754.02,2022-11-07
Bradly,Sauer,AB409090C,Fixed protection,23023173,302.81,2022-11-04
Kenny,Wehner,AB398093C,Individual protection 2016,15286246,146.01,2022-11-03
Sheila,Marquardt,AB745807C,Individual protection 2016,36145965,416.98,2022-11-04
Braulio,Ernser,AB115511C,Enhanced lifetime allowance,36454117,75.00,2022-11-02
Elwyn,Littel,AB291714C,Enhanced lifetime allowance,69921789,613.45,2022-11-01
Cielo,Lynch,AB583825C,Enhanced protection,90802875,625.28,2022-11-04
Estella,Boyle,AB631529C,Individual protection 2016,93654611,681.75,2022-11-03
Saige,Schimmel,AB724629C,Fixed protection 2014,67976872,737.25,2022-11-02
Kylie,Schamberger,AB674689C,Fixed protection 2016,15570056,686.12,2022-11-06
Nichole,Schoen,AB101303C,Enhanced lifetime allowance,86831546,716.84,2022-11-04
Dixie,Franecki,AB935422C,Enhanced lifetime allowance,55937248,24.62,2022-11-07
Juliet,Hansen,AB350983C,Individual protection 2016,29272897,765.39,2022-11-04
Kayli,Ondricka,AB639562C,Fixed protection 2014,31411842,499.90,2022-11-07
Cassidy,Wilderman,AB728332C,Enhanced lifetime allowance,44432756,543.26,2022-11-03
Kody,Rolfson,AB273153C,Individual protection 2016,78015976,951.20,2022-11-07
Nikko,Kreiger,AB172773C,Fixed protection 2016,65033864,533.77,2022-11-06
Alfonzo,Smith,AB650349C,Individual protection 2016,61497812,605.60,2022-11-08
Lottie,Rolfson,AB830554C,Enhanced protection,57638553,273.07,2022-11-07
Tanya,Maggio,AB349469C,Fixed protection 2014,40362111,833.65,2022-11-02
Domingo,Keeling,AB565827C,Fixed protection 2014,15668185,102.75,2022-11-08
Estefania,Kohler,AB743020C,Enhanced protection,24654994,998.89,2022-11-04
Amparo,Kozey,AB782854C,Fixed protection 2014,17406422,895.44,2022-11-08
Santa,West,AB676607C,Fixed protection 2014,98079915,216.81,2022-11-01
Elizabeth,Jenkins,AB483436C,Individual protection 2014,41134909,554.84,2022-11-08
Claudia,Rogahn,AB502976C,Enhanced protection,89932489,898.89,2022-11-08
Bethel,Bartell,AB727596C,Fixed protection,33665772,949.52,2022-11-02
Cielo,Bartoletti,AB808940C,Fixed protection 2014,42220955,371.28,2022-11-06
