First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Granville,Ziemann,AB161981C,2022 to 2023,751.34
Virgie,McKenzie,AB805762C,2022 to 2023,102.57
Felix,Schamberger,AB561812C,2022 to 2023,306.03
Gudrun,Stoltenberg,AB306397C,2022 to 2023,710.97
Evalyn,Dach,AB348606C,2022 to 2023,931.11
Gretchen,Langworth,AB439991C,2022 to 2023,286.20
Justice,Heaney,AB933411C,2022 to 2023,577.01
Angela,Feeney,AB389188C,2022 to 2023,608.12
Brandon,Torp,AB453064C,2022 to 2023,325.52
Myrtice,Wolf,AB862738C,2022 to 2023,131.85
Ari,Hand,AB445652C,2022 to 2023,525.85
Rogers,Champlin,AB679416C,2022 to 2023,397.16
Lacy,Labadie,AB379282C,2022 to 2023,547.44
Abraham,Brekke,AB644298C,2022 to 2023,732.06
Rollin,Schaden,AB617291C,2022 to 2023,585.32
Florida,Davis,AB282926C,2022 to 2023,385.00
Ismael,Gislason,AB502931C,2022 to 2023,380.45
Sherman,Schaden,AB380912C,2022 to 2023,244.80
Zora,Schinner,AB296841C,2022 to 2023,704.10
Jillian,Parker,AB473859C,2022 to 2023,759.92
Coby,Crooks,AB186657C,2022 to 2023,2.49
Willow,Davis,AB908868C,2022 to 2023,904.53
Raymundo,Muller,AB250028C,2022 to 2023,829.78
Shyanne,Wisozk,AB392990C,2022 to 2023,986.62
Kellie,Brekke,AB625779C,2022 to 2023,636.03
Iva,Stehr,AB529383C,2022 to 2023,558.76
Bobbie,Crona,AB904800C,2022 to 2023,300.11
Mireille,Gutmann,AB511724C,2022 to 2023,680.26
Dorris,Fahey,AB462806C,2022 to 2023,455.53
Alessandra,Schoen,AB943554C,2022 to 2023,870.07
Jedidiah,Kirlin,AB781429C,2022 to 2023,897.38
Johanna,Schulist,AB321582C,2022 to 2023,81.84
Korey,Hackett,AB928456C,2022 to 2023,509.31
Gaston,Tromp,AB972937C,2022 to 2023,476.98
Natalia,Runolfsson,AB303656C,2022 to 2023,731.51
Merle,Haley,AB639200C,2022 to 2023,557.64
Josiane,Hammes,AB365212C,2022 to 2023,517.28
Rylee,Crona,AB494143C,2022 to 2023,337.59
Nigel,Mosciski,AB480702C,2022 to 2023,418.55
Minerva,Cormier,AB802847C,2022 to 2023,883.89
Savanah,Wunsch,AB635593C,2022 to 2023,8.65
Melvina,Predovic,AB885647C,2022 to 2023,888.58
Greta,Kunde,AB843037C,2022 to 2023,479.36
Susana,Roob,AB670692C,2022 to 2023,913.12
Jazlyn,Schulist,AB102667C,2022 to 2023,794.97
Quinton,Ritchie,AB536210C,2022 to 2023,464.28
Tomasa,Rempel,AB121560C,2022 to 2023,790.17
Karli,Williamson,AB166937C,2022 to 2023,208.99
Adolf,Bernier,AB693325C,2022 to 2023,427.85
Geraldine,Hartmann,AB632396C,2022 to 2023,171.78
Jeremie,Spinka,AB301413C,2022 to 2023,377.01
Virgil,Frami,AB446955C,2022 to 2023,186.54
Preston,Bartell,AB977636C,2022 to 2023,406.82
Kaitlin,Watsica,AB898451C,2022 to 2023,133.87
Marjory,Weimann,AB482481C,2022 to 2023,485.54
Albina,Schmeler,AB458326C,2022 to 2023,714.34
Romaine,Sauer,AB666986C,2022 to 2023,283.77
Leonard,Green,AB757272C,2022 to 2023,617.54
Marques,Effertz,AB131329C,2022 to 2023,875.35
Rodolfo,Frami,AB918528C,2022 to 2023,407.12
Christelle,Veum,AB508136C,2022 to 2023,539.24
Gayle,Bins,AB116696C,2022 to 2023,991.60
Jeremy,Barrows,AB459711C,2022 to 2023,146.74
Bertha,Schneider,AB552152C,2022 to 2023,430.24
Constance,Predovic,AB682769C,2022 to 2023,550.41
Gaetano,Rutherford,AB140213C,2022 to 2023,776.80
Sigrid,McCullough,AB426153C,2022 to 2023,85.88
Adalberto,Daugherty,AB961696C,2022 to 2023,166.95
Ova,Grant,AB373978C,2022 to 2023,288.71
Clifton,Nienow,AB600932C,2022 to 2023,548.65
Selmer,Bergnaum,AB913384C,2022 to 2023,802.67
Kelly,Murazik,AB855763C,2022 to 2023,389.23
Jaime,Mertz,AB314691C,2022 to 2023,98.03
Guillermo,Rutherford,AB194870C,2022 to 2023,34.63
Norma,Kulas,AB573900C,2022 to 2023,393.63
Alexis,Barton,AB761721C,2022 to 2023,673.44
Issac,Schamberger,AB995671C,2022 to 2023,287.30
Cassidy,Hoeger,AB786310C,2022 to 2023,510.35
Cecelia,Rosenbaum,AB676216C,2022 to 2023,455.77
Freddie,Bode,AB222773C,2022 to 2023,857.77
Charity,Mueller,AB138363C,2022 to 2023,461.52
Stephen,Schinner,AB834551C,2022 to 2023,346.59
Cathryn,Moore,AB536101C,2022 to 2023,439.65
Garfield,Schaefer,AB807166C,2022 to 2023,487.71
Nickolas,Altenwerth,AB521292C,2022 to 2023,84.22
Alexandria,Sauer,AB245577C,2022 to 2023,273.49
Estel,Sipes,AB498343C,2022 to 2023,867.27
Bernita,O'Kon,AB568664C,2022 to 2023,927.57
Shania,Hilll,AB441335C,2022 to 2023,861.10
Willie,Steuber,AB816070C,2022 to 2023,268.32
Forrest,Gaylord,AB377990C,2022 to 2023,248.38
Colten,Sauer,AB826273C,2022 to 2023,914.98
Janice,Erdman,AB523386C,2022 to 2023,559.95
Isai,Lebsack,AB271895C,2022 to 2023,527.02
Urban,Carter,AB575867C,2022 to 2023,630.77
Amari,Ratke,AB996192C,2022 to 2023,385.08
Jovan,Yost,AB509888C,2022 to 2023,719.54
Joe,Orn,AB181346C,2022 to 2023,797.40
Kathryne,Berge,AB404790C,2022 to 2023,289.77
Astrid,Quitzon,AB566273C,2022 to 2023,522.87
Minerva,Gibson,AB822756C,2022 to 2023,208.91
Reyes,Boyer,AB660926C,2022 to 2023,703.20
Jermaine,Carter,AB705994C,2022 to 2023,246.64
Suzanne,Spinka,AB157592C,2022 to 2023,443.62
Belle,Huel,AB820503C,2022 to 2023,199.99
Abraham,Abbott,AB820956C,2022 to 2023,231.33
Tomas,Mosciski,AB416869C,2022 to 2023,373.76
Tyshawn,Hintz,AB147276C,2022 to 2023,220.52
Mitchel,Schaefer,AB332145C,2022 to 2023,417.71
Hilario,Harris,AB752868C,2022 to 2023,42.58
Thalia,Turner,AB837008C,2022 to 2023,993.97
Mac,Schuster,AB746889C,2022 to 2023,751.76
Buck,Rath,AB804939C,2022 to 2023,386.36
Julianne,Brown,AB181181C,2022 to 2023,313.22
Hortense,Nicolas,AB423398C,2022 to 2023,438.06
Rico,Kertzmann,AB132958C,2022 to 2023,648.61
Karelle,Reynolds,AB272685C,2022 to 2023,990.58
Jadyn,Corkery,AB575728C,2022 to 2023,489.68
Natasha,Schroeder,AB248272C,2022 to 2023,961.71
Giovanny,Torp,AB814723C,2022 to 2023,567.79
Kattie,Mante,AB345207C,2022 to 2023,126.27
Holly,Hirthe,AB476399C,2022 to 2023,970.41
Claire,Mueller,AB343727C,2022 to 2023,86.52
Erick,Jaskolski,AB745366C,2022 to 2023,14.11
Anita,Langosh,AB111775C,2022 to 2023,436.18
Lessie,Brown,AB120209C,2022 to 2023,107.31
Anais,Ziemann,AB203072C,2022 to 2023,395.17
Rachael,Sauer,AB992674C,2022 to 2023,959.50
Myriam,Homenick,AB809109C,2022 to 2023,943.23
Crawford,Gislason,AB299556C,2022 to 2023,755.60
Brooklyn,Monahan,AB554218C,2022 to 2023,812.05
Pasquale,VonRueden,AB784487C,2022 to 2023,945.61
Flavio,Hauck,AB597136C,2022 to 2023,355.01
Armando,Dare,AB139771C,2022 to 2023,953.50
Fausto,Morissette,AB606870C,2022 to 2023,399.97
Concepcion,Rice,AB945022C,2022 to 2023,972.74
Trevion,Schmeler,AB350629C,2022 to 2023,25.73
Lesly,Huels,AB340074C,2022 to 2023,471.49
Adolf,Quitzon,AB781189C,2022 to 2023,877.57
Wilhelm,Dare,AB335343C,2022 to 2023,740.46
Gerry,Ziemann,AB392960C,2022 to 2023,209.49
Dariana,Heller,AB192055C,2022 to 2023,58.48
Elaina,Yundt,AB430120C,2022 to 2023,224.64
Cristina,Kautzer,AB619755C,2022 to 2023,461.34
Retha,Schmitt,AB174283C,2022 to 2023,743.41
Emery,Gulgowski,AB813282C,2022 to 2023,211.91
Titus,Brakus,AB550133C,2022 to 2023,9.91
Alexandro,Durgan,AB702794C,2022 to 2023,877.19
Xavier,Orn,AB751283C,2022 to 2023,357.60
Minerva,Mohr,AB680029C,2022 to 2023,818.74
Catalina,Lindgren,AB946892C,2022 to 2023,757.62
Jordon,Powlowski,AB744242C,2022 to 2023,215.13
Willow,Becker,AB435269C,2022 to 2023,992.06
Renee,Graham,AB149377C,2022 to 2023,552.70
Akeem,Rolfson,AB329369C,2022 to 2023,630.43
Braden,Gleichner,AB300076C,2022 to 2023,398.93
Devan,Swift,AB921023C,2022 to 2023,744.71
Yessenia,Brekke,AB246145C,2022 to 2023,880.81
Devyn,Robel,AB853276C,2022 to 2023,259.45
Furman,Legros,AB815729C,2022 to 2023,410.60
Clint,Langworth,AB750511C,2022 to 2023,80.89
Isaac,Gleichner,AB728479C,2022 to 2023,387.10
Leatha,Hirthe,AB249664C,2022 to 2023,534.79
Alexa,Runte,AB239988C,2022 to 2023,726.90
Madie,Harvey,AB864382C,2022 to 2023,749.37
Blake,Towne,AB394166C,2022 to 2023,451.30
Elody,Larson,AB483808C,2022 to 2023,77.09
Angie,O'Keefe,AB214931C,2022 to 2023,880.36
Stanton,Zieme,AB477605C,2022 to 2023,738.88
Sabryna,Corwin,AB910968C,2022 to 2023,477.63
Asha,Beer,AB687307C,2022 to 2023,118.45
Lewis,Considine,AB196637C,2022 to 2023,192.54
Leopold,Bergnaum,AB346936C,2022 to 2023,437.46
Fletcher,Wehner,AB279659C,2022 to 2023,293.25
Rowan,Koepp,AB884843C,2022 to 2023,348.05
Rebecca,Berge,AB755871C,2022 to 2023,232.39
Floy,Daugherty,AB507632C,2022 to 2023,548.17
Gennaro,Greenfelder,AB884795C,2022 to 2023,822.68
Fleta,Harris,AB830198C,2022 to 2023,193.77
Myles,Rosenbaum,AB892645C,2022 to 2023,481.38
Marcus,Hintz,AB404985C,2022 to 2023,801.65
Helmer,O'Hara,AB688517C,2022 to 2023,880.01
Karson,Bailey,AB826601C,2022 to 2023,101.05
Alvena,Oberbrunner,AB151365C,2022 to 2023,524.86
Eric,Ratke,AB922771C,2022 to 2023,772.52
Kenna,Trantow,AB360067C,2022 to 2023,211.47
Josue,Rippin,AB114736C,2022 to 2023,369.78
Sherman,Rolfson,AB994290C,2022 to 2023,9.97
Fredy,Cormier,AB825216C,2022 to 2023,90.51
Mavis,Smith,AB536011C,2022 to 2023,296.04
Sonny,Boyle,AB614832C,2022 to 2023,91.71
Marc,Lowe,AB846250C,2022 to 2023,574.21
Rubye,Wiza,AB763586C,2022 to 2023,76.48
Maxine,Wolf,AB856820C,2022 to 2023,772.26
Claire,Kilback,AB373761C,2022 to 2023,317.61
Doug,Daugherty,AB205191C,2022 to 2023,328.44
Grover,Dooley,AB691934C,2022 to 2023,711.22
Carmel,Torphy,AB791798C,2022 to 2023,211.57
Miles,Stehr,AB463187C,2022 to 2023,879.57
Cory,Frami,AB783086C,2022 to 2023,967.54
Hank,Herzog,AB603268C,2022 to 2023,791.00
Henry,Koch,AB932070C,2022 to 2023,645.74
Carmela,Kohler,AB414586C,2022 to 2023,104.27
Henri,Predovic,AB264020C,2022 to 2023,52.05
Curtis,Cole,AB705195C,2022 to 2023,344.46
Tobin,Prohaska,AB504908C,2022 to 2023,56.55
Mauricio,Hane,AB478262C,2022 to 2023,366.74
Brian,Ziemann,AB921385C,2022 to 2023,902.50
Bert,Kerluke,AB528223C,2022 to 2023,861.73
Ericka,Wisozk,AB792340C,2022 to 2023,655.68
Luciano,Quitzon,AB920242C,2022 to 2023,361.85
Maude,Zboncak,AB361629C,2022 to 2023,312.99
Nikko,Jenkins,AB535740C,2022 to 2023,673.18
Kaylin,Sanford,AB783159C,2022 to 2023,396.76
Eugenia,Ullrich,AB260319C,2022 to 2023,789.21
Reanna,Dooley,AB192373C,2022 to 2023,51.63
Houston,Herman,AB596550C,2022 to 2023,518.75
Kayli,Crist,AB972429C,2022 to 2023,3.35
Leonel,Shields,AB693903C,2022 to 2023,426.09
Luisa,Bruen,AB426234C,2022 to 2023,126.93
Danika,Bartell,AB265418C,2022 to 2023,767.98
Justus,Lehner,AB178319C,2022 to 2023,62.13
Chasity,Rutherford,AB379253C,2022 to 2023,924.20
Sven,Prosacco,AB497149C,2022 to 2023,809.78
Cayla,Fay,AB754675C,2022 to 2023,347.54
Gunner,Quitzon,AB247728C,2022 to 2023,643.97
Alia,Russel,AB562979C,2022 to 2023,374.29
Salma,Jerde,AB784305C,2022 to 2023,239.49
Timmy,D'Amore,AB736708C,2022 to 2023,720.16
Bethel,O'Conner,AB636330C,2022 to 2023,526.51
Mariane,Braun,AB278310C,2022 to 2023,197.83
Dudley,Weissnat,AB266761C,2022 to 2023,585.66
Joyce,Mayer,AB559861C,2022 to 2023,601.95
Fern,Corkery,AB149222C,2022 to 2023,391.92
Jean,Wilkinson,AB770392C,2022 to 2023,678.90
Rico,Gleichner,AB469752C,2022 to 2023,449.41
Magali,Farrell,AB759928C,2022 to 2023,245.58
Anastasia,Durgan,AB314363C,2022 to 2023,417.79
Sherwood,Beier,AB296093C,2022 to 2023,11.65
Jayce,Harris,AB744778C,2022 to 2023,335.95
Isom,Will,AB101518C,2022 to 2023,558.26
Bernadette,Kemmer,AB451596C,2022 to 2023,133.67
Alexandra,Moen,AB886226C,2022 to 2023,639.79
Garnet,Cummings,AB950018C,2022 to 2023,184.01
Burley,Gorczany,AB840897C,2022 to 2023,556.12
Kristopher,Turner,AB681627C,2022 to 2023,850.16
Mac,Zboncak,AB797265C,2022 to 2023,412.26
Mario,Gottlieb,AB528884C,2022 to 2023,398.92
Heath,Krajcik,AB812865C,2022 to 2023,166.88
Ursula,Murazik,AB578957C,2022 to 2023,624.36
Cordia,Steuber,AB975832C,2022 to 2023,306.86
Stanley,Monahan,AB524333C,2022 to 2023,511.13
Leon,Veum,AB402158C,2022 to 2023,391.32
Jordi,Terry,AB191317C,2022 to 2023,988.60
Leonor,Gerlach,AB434131C,2022 to 2023,327.30
Rahul,Hayes,AB543589C,2022 to 2023,289.26
Francis,Rippin,AB884316C,2022 to 2023,98.38
Merle,Harber,AB269047C,2022 to 2023,58.79
Cordie,Schmitt,AB146388C,2022 to 2023,188.02
Mariela,Carter,AB101751C,2022 to 2023,522.53
Mikayla,Labadie,AB275761C,2022 to 2023,858.64
Lenore,Jerde,AB170776C,2022 to 2023,993.70
Asia,Price,AB492623C,2022 to 2023,85.07
Zola,Thiel,AB971975C,2022 to 2023,493.08
Frederique,Spinka,AB489782C,2022 to 2023,912.73
Ronaldo,Waelchi,AB256476C,2022 to 2023,165.49
Reginald,Cremin,AB685957C,2022 to 2023,802.44
Pete,Huel,AB583581C,2022 to 2023,696.15
Roger,Mraz,AB132686C,2022 to 2023,112.73
Dominique,Lubowitz,AB904679C,2022 to 2023,970.42
Emelie,O'Reilly,AB110396C,2022 to 2023,403.56
Jaylon,Abernathy,AB905438C,2022 to 2023,613.50
Wendell,Raynor,AB427222C,2022 to 2023,153.01
Melba,Purdy,AB507628C,2022 to 2023,854.45
Zaria,Robel,AB238879C,2022 to 2023,399.60
Lila,Mante,AB869926C,2022 to 2023,638.87
Allie,Stoltenberg,AB576406C,2022 to 2023,991.54
Santos,Schowalter,AB755808C,2022 to 2023,289.97
Retha,McClure,AB296256C,2022 to 2023,967.00
Caitlyn,Bayer,AB734334C,2022 to 2023,398.75
Jordy,Feest,AB925643C,2022 to 2023,459.85
Frank,Koss,AB494895C,2022 to 2023,249.74
Hailie,Dare,AB928005C,2022 to 2023,754.63
Connie,Hoppe,AB616952C,2022 to 2023,265.25
Wilbert,Jacobson,AB824741C,2022 to 2023,96.64
Domenick,Bednar,AB599936C,2022 to 2023,726.67
Nicholaus,Sipes,AB925149C,2022 to 2023,707.42
Ceasar,Wilderman,AB335773C,2022 to 2023,253.05
Alvah,Ledner,AB543340C,2022 to 2023,968.12
Leda,Haag,AB728699C,2022 to 2023,392.55
Keeley,Swaniawski,AB537973C,2022 to 2023,294.19
Obie,Barton,AB958540C,2022 to 2023,278.91
Thelma,O'Hara,AB430059C,2022 to 2023,172.34
Rodger,Morar,AB832016C,2022 to 2023,492.58
Mark,Yundt,AB607137C,2022 to 2023,781.08
Norwood,Bechtelar,AB257010C,2022 to 2023,527.03
Jessy,Toy,AB456855C,2022 to 2023,863.17
Emely,Feest,AB326391C,2022 to 2023,89.55
Xavier,Tremblay,AB795376C,2022 to 2023,67.08
Sage,Towne,AB996108C,2022 to 2023,867.24
Roderick,Kessler,AB957449C,2022 to 2023,828.43
Flo,Koepp,AB100339C,2022 to 2023,268.61
Frieda,Goldner,AB119656C,2022 to 2023,121.53
Bert,Corkery,AB329543C,2022 to 2023,301.32
Kelvin,Hegmann,AB365385C,2022 to 2023,561.74
Nicklaus,Lowe,AB446767C,2022 to 2023,988.12
Annie,Runte,AB226515C,2022 to 2023,551.48
Macy,Yost,AB939163C,2022 to 2023,426.48
Shaylee,Kuhic,AB707831C,2022 to 2023,634.52
Jocelyn,O'Kon,AB856823C,2022 to 2023,734.91
Raleigh,Rippin,AB908062C,2022 to 2023,798.53
Fay,Pfannerstill,AB733604C,2022 to 2023,554.22
Hester,Jacobs,AB369694C,2022 to 2023,767.23
Haley,Cummings,AB213215C,2022 to 2023,632.80
Josue,O'Reilly,AB539319C,2022 to 2023,42.93
Marlon,Parker,AB743629C,2022 to 2023,915.76
Carmen,Hudson,AB954593C,2022 to 2023,721.70
Roberto,Robel,AB410225C,2022 to 2023,301.45
Rosina,Pacocha,AB435172C,2022 to 2023,100.97
Sabina,Daugherty,AB349864C,2022 to 2023,596.84
Dahlia,Williamson,AB143352C,2022 to 2023,309.65
Travon,Kiehn,AB112473C,2022 to 2023,818.93
Jairo,Goodwin,AB771564C,2022 to 2023,120.47
Nikko,Heller,AB153335C,2022 to 2023,840.29
Monserrate,Rodriguez,AB820073C,2022 to 2023,323.03
Raphaelle,Kiehn,AB659364C,2022 to 2023,802.05
Salvatore,Waelchi,AB537798C,2022 to 2023,921.85
Keara,O'Kon,AB153565C,2022 to 2023,459.14
Carmine,Kuvalis,AB269675C,2022 to 2023,399.77
Hilario,Lockman,AB170875C,2022 to 2023,945.84
Sarai,Reichert,AB719715C,2022 to 2023,228.20
Amya,Muller,AB486046C,2022 to 2023,812.27
Watson,Cummerata,AB661564C,2022 to 2023,149.49
Brianne,Larson,AB733009C,2022 to 2023,849.27
Alayna,Raynor,AB392079C,2022 to 2023,896.59
Armani,Hahn,AB199309C,2022 to 2023,185.84
Estel,Ward,AB226528C,2022 to 2023,674.57
Tina,Haag,AB411509C,2022 to 2023,239.34
Adan,Tillman,AB841413C,2022 to 2023,442.73
Vernie,Conn,AB397425C,2022 to 2023,683.78
Mabelle,Daniel,AB483410C,2022 to 2023,936.82
Willard,O'Kon,AB823833C,2022 to 2023,757.14
Adrianna,Gulgowski,AB752467C,2022 to 2023,261.93
Hilda,Nolan,AB153282C,2022 to 2023,3.65
Imogene,Ryan,AB624443C,2022 to 2023,726.16
Lonzo,Romaguera,AB189711C,2022 to 2023,330.64
Valentin,Little,AB304035C,2022 to 2023,586.51
Floyd,Bergstrom,AB302203C,2022 to 2023,946.37
Rosina,Mayert,AB370106C,2022 to 2023,566.68
Quentin,Gorczany,AB111041C,2022 to 2023,525.47
Rowena,Macejkovic,AB686073C,2022 to 2023,565.02
Bradly,Lockman,AB847503C,2022 to 2023,530.56
Clementine,Hammes,AB126898C,2022 to 2023,804.41
Reynold,Johns,AB290078C,2022 to 2023,640.96
Jabari,Johns,AB700956C,2022 to 2023,846.77
Marquise,Hane,AB893929C,2022 to 2023,337.94
Anthony,Parker,AB992191C,2022 to 2023,809.46
Aletha,Johns,AB793681C,2022 to 2023,880.71
Howell,Walsh,AB589400C,2022 to 2023,507.67
Dayana,Schumm,AB611596C,2022 to 2023,378.41
Roman,Zieme,AB201156C,2022 to 2023,940.89
Hester,Bernier,AB847973C,2022 to 2023,865.43
Darby,Schoen,AB959350C,2022 to 2023,959.10
Maxwell,Franecki,AB667988C,2022 to 2023,170.01
Pedro,Keebler,AB426648C,2022 to 2023,216.41
Joan,Feeney,AB457055C,2022 to 2023,20.46
Elliot,Mohr,AB226650C,2022 to 2023,221.79
Lessie,Langworth,AB918574C,2022 to 2023,353.08
Tyreek,Barrows,AB445483C,2022 to 2023,124.74
Russell,Kozey,AB559154C,2022 to 2023,488.36
Sigmund,Labadie,AB634905C,2022 to 2023,825.85
Katherine,Kunde,AB148940C,2022 to 2023,865.28
Alec,Thiel,AB971630C,2022 to 2023,510.16
Ola,Hermiston,AB593026C,2022 to 2023,243.18
Ignacio,Friesen,AB945961C,2022 to 2023,349.64
Otto,Deckow,AB974277C,2022 to 2023,910.68
Joanny,Dare,AB765983C,2022 to 2023,280.90
Peyton,Hagenes,AB641468C,2022 to 2023,754.99
Yvette,Batz,AB424542C,2022 to 2023,272.15
Gerry,Lesch,AB144677C,2022 to 2023,188.30
Jose,Hagenes,AB416065C,2022 to 2023,130.59
Gabriel,Dibbert,AB165340C,2022 to 2023,51.15
Elody,Fadel,AB640113C,2022 to 2023,961.07
Ernestine,Kuvalis,AB784098C,2022 to 2023,178.20
Pansy,Schulist,AB742391C,2022 to 2023,711.71
Tremaine,Weimann,AB893819C,2022 to 2023,709.78
Dave,Auer,AB703896C,2022 to 2023,519.11
Mauricio,Bode,AB441088C,2022 to 2023,33.29
Doyle,Walter,AB824087C,2022 to 2023,934.56
Holly,Rippin,AB396972C,2022 to 2023,706.82
Dan,Koepp,AB944887C,2022 to 2023,508.32
Otis,Senger,AB891744C,2022 to 2023,908.08
Dorothea,Bednar,AB961588C,2022 to 2023,482.00
Summer,Fay,AB281762C,2022 to 2023,967.72
Horacio,Turner,AB250547C,2022 to 2023,443.17
Andreanne,Beer,AB683583C,2022 to 2023,626.57
Shawn,Johnson,AB815812C,2022 to 2023,18.18
Hettie,Jewess,AB765794C,2022 to 2023,772.00
Aurore,Fahey,AB510884C,2022 to 2023,287.79
Leola,Bruen,AB723499C,2022 to 2023,354.26
Elinore,Runolfsson,AB685439C,2022 to 2023,756.76
Destin,Hand,AB671143C,2022 to 2023,896.42
Abigale,Tillman,AB173065C,2022 to 2023,724.93
Leonel,Waters,AB984099C,2022 to 2023,757.55
Jarod,Langworth,AB139862C,2022 to 2023,156.33
Nyasia,Yost,AB783467C,2022 to 2023,622.33
Dario,Stanton,AB577126C,2022 to 2023,765.08
Colby,Price,AB540630C,2022 to 2023,504.04
Lenore,Batz,AB922426C,2022 to 2023,634.42
Anne,Leffler,AB295386C,2022 to 2023,666.54
Jeff,Jewess,AB988375C,2022 to 2023,795.27
Maddison,Bernier,AB180795C,2022 to 2023,599.89
Chaya,Hauck,AB558614C,2022 to 2023,389.29
Nicola,Renner,AB255502C,2022 to 2023,211.79
Liana,Swift,AB592304C,2022 to 2023,804.87
Alfred,Herzog,AB263565C,2022 to 2023,651.95
Josephine,Balistreri,AB949521C,2022 to 2023,673.28
Arne,Kutch,AB150553C,2022 to 2023,138.44
Karley,Schroeder,AB177404C,2022 to 2023,841.00
Bret,Carroll,AB268868C,2022 to 2023,648.96
Katrina,Dare,AB672195C,2022 to 2023,554.12
Elna,Batz,AB298347C,2022 to 2023,87.92
